Tesla Last Price,S&P Last  Price
777.56,4352.63
781.31,4359.46
775.48,4307.54
775.22,4357.04
781.53,4300.46
780.59,4345.72
782.75,4363.55
793.61,4399.76
785.49,4391.34
791.94,4361.19
805.72,4350.65
811.08,4363.8
818.32,4438.26
843.03,4471.37
870.11,4486.46
864.27,4519.63
865.8,4536.19
894.0,4549.78
909.68,4544.9
1024.86,4566.48
1018.43,4574.79
1037.86,4551.68
1077.04,4596.42
1114.0,4605.38
1208.59,4613.67
1172.0,4630.65
1213.86,4660.57
1229.91,4680.06
1222.09,4697.53
1162.94,4701.7
1023.5,4685.25
1067.95,4646.71
1063.51,4649.27
1033.42,4682.85
1013.39,4682.8
1054.73,4700.9
1089.01,4688.67
1096.38,4704.54
1137.06,4697.96
1156.87,4682.94
1109.03,4690.7
1116.0,4701.46
1081.92,4594.62
1136.99,4655.27
1144.76,4567.0
1095.0,4513.04
1084.6,4577.1
1014.97,4538.43
1009.01,4591.67
1051.75,4686.75
1068.96,4701.21
1003.8,4667.45
1017.03,4712.02
966.41,4668.97
958.51,4634.09
975.99,4709.85
926.92,4668.67
932.57,4620.64
899.94,4568.02
938.53,4649.23
1008.87,4696.56
1067.0,4725.79
1093.94,4791.19
1088.47,4786.35
1086.19,4793.06
1070.34,4778.73
1056.78,4766.18
1199.78,4796.56
1149.59,4793.54
1088.12,4700.58
1064.7,4696.05
1026.96,4677.03
1058.12,4670.29
1064.4,4713.07
1106.22,4726.35
1031.56,4659.03
1049.61,4662.85
1030.51,4577.11
995.65,4532.76
996.27,4482.73
943.9,4397.94
930.0,4410.13
918.4,4356.45
937.41,4349.93
829.1,4326.51
846.35,4431.85
936.72,4515.55
931.25,4546.54
905.66,4589.38
891.14,4477.44
923.32,4500.53
907.34,4483.87
922.0,4521.54
932.0,4587.18
904.55,4504.08
860.0,4418.64
875.76,4401.67
922.43,4471.07
923.39,4475.01
876.35,4380.26
856.98,4348.87
821.53,4304.76
764.04,4225.5
800.77,4288.7
809.87,4384.65
870.43,4373.94
864.37,4306.26
879.89,4386.54
839.29,4363.49
838.29,4328.87
804.58,4201.09
824.4,4170.7
858.97,4277.88
838.3,4259.52
795.35,4204.31
766.37,4173.11
801.89,4262.45
840.23,4357.86
871.6,4411.67
905.39,4463.12
921.16,4461.18
993.98,4511.61
999.11,4456.24
1013.92,4520.16
1010.64,4543.06
1091.84,4575.52
1099.57,4631.6
1093.99,4602.45
1077.6,4530.41
1084.59,4545.86
1145.45,4582.64
1091.26,4525.12
1045.76,4481.15
1057.26,4500.21
1025.49,4488.28
975.93,4412.53
986.95,4397.45
1022.37,4446.59
985.0,4392.59
1004.29,4391.69
1028.15,4462.21
977.2,4459.45
1008.78,4393.66
1005.05,4271.78
998.02,4296.12
876.42,4175.2
881.51,4183.96
877.51,4287.5
870.76,4131.93
902.94,4155.38
909.25,4175.48
952.62,4300.17
873.28,4146.87
865.65,4123.34
787.11,3991.24
800.04,4001.05
734.0,3935.18
728.0,3930.08
769.59,4023.89
