,Date,Last Price,Open Price,High Price,Low Price,Volume
48,7/21/2020,313.672,327.986,335.0,311.6,80786400
49,7/22/2020,318.466,319.8,325.284,312.4,70805400
50,7/23/2020,302.61400000000003,335.79,337.8,296.154,121642520
51,7/24/2020,283.4,283.202,293.0,273.308,96983080
52,7/27/2020,307.92,287.0,309.58799999999997,282.6,80243344
53,7/28/2020,295.298,300.8,312.94,294.884,79043504
54,7/29/2020,299.822,300.2,306.962,297.4,47134464
55,7/30/2020,297.498,297.6,302.64799999999997,294.2,38105196
56,7/31/2020,286.152,303.0,303.41,284.19599999999997,61234800
57,8/3/2020,297.0,289.84,301.962,288.877,44046728
58,8/4/2020,297.4,299.002,305.482,292.4,42074952
59,8/5/2020,297.004,298.598,299.968,293.66200000000003,24890076
60,8/6/2020,297.916,298.166,303.462,295.452,29961564
61,8/7/2020,290.54200000000003,299.907,299.95,283.002,44482100
62,8/10/2020,283.714,289.6,291.5,277.168,37611320
63,8/11/2020,274.878,279.2,284.0,273.0,43129168
64,8/12/2020,310.952,294.0,317.0,287.0,109494168
65,8/13/2020,324.2,322.2,330.236,313.452,102126544
66,8/14/2020,330.142,332.99800000000005,333.76,325.328,62888072
67,8/17/2020,367.12800000000004,335.4,369.17199999999997,334.566,101211616
68,8/18/2020,377.418,379.798,384.78,369.022,82372456
69,8/19/2020,375.70599999999996,373.0,382.2,368.24199999999996,61026656
70,8/20/2020,400.366,372.13599999999997,404.398,371.412,103058976
71,8/21/2020,409.996,408.952,419.098,405.01,107447792
72,8/24/2020,402.84,425.255,425.8,385.504,100318104
73,8/25/2020,404.668,394.978,405.59,393.6,53294464
74,8/26/2020,430.634,412.0,433.2,410.726,71196912
75,8/27/2020,447.75,436.092,459.12,428.5,118465216
76,8/28/2020,442.68,459.024,463.69800000000004,437.30400000000003,100405880
77,8/31/2020,498.32,444.61,500.14,440.11,118415568
78,9/1/2020,475.05,502.14,502.49,470.51,90119416
79,9/2/2020,447.37,478.99,479.04,405.121,96280976
80,9/3/2020,407.0,407.23,431.8,402.0,87596088
81,9/4/2020,418.32,402.81,428.0,372.02,110321888
82,9/8/2020,330.21,356.0,368.74,329.88,115465688
83,9/9/2020,366.28,356.6,369.0,341.51,79465768
84,9/10/2020,371.34,386.21,398.99,360.56,84930608
85,9/11/2020,372.72,381.94,382.5,360.5,60717460
86,9/14/2020,419.62,380.95,420.0,373.3,83020608
87,9/15/2020,449.76,436.56,461.94,430.7,97298224
88,9/16/2020,441.76,439.87,457.79,435.31,72546760
89,9/17/2020,423.43,415.6,437.79,408.0,76779160
90,9/18/2020,442.15,447.94,451.0,428.8,86406816
91,9/21/2020,449.39,453.13,455.68,407.07,109476800
92,9/22/2020,424.23,429.6,437.76,417.6,79580792
93,9/23/2020,380.36,405.16,412.15,375.88,95074176
94,9/24/2020,387.79,363.8,399.5,351.3,96561064
95,9/25/2020,407.34,393.47,408.73199999999997,391.3,67208456
96,9/28/2020,421.2,424.62,428.08,415.55,49719560
97,9/29/2020,419.07,416.0,428.5,411.6,50341404
98,9/30/2020,429.01,421.32,433.93,420.47,48145568
99,10/1/2020,448.16,440.76,448.88,434.42,50741456
100,10/2/2020,415.09,421.39,439.13,415.0,71430024
101,10/5/2020,425.68,423.35,433.64,419.33,44722784
102,10/6/2020,413.98,423.79,428.78,406.05,49146260
103,10/7/2020,425.3,419.87,429.9,413.845,43127708
104,10/8/2020,425.92,438.44,439.0,425.3,40421116
105,10/9/2020,434.0,430.13,434.59,426.46,28925656
106,10/12/2020,442.3,442.0,448.74,438.58,38791132
107,10/13/2020,446.65,443.35,448.89,436.6,34463664
108,10/14/2020,461.3,449.78,465.9,447.35,48045392
109,10/15/2020,448.88,450.31,456.57,442.5,35672352
110,10/16/2020,439.67,454.44,455.95,438.85,32775880
111,10/19/2020,430.83,446.24,447.0,428.87,36287844
112,10/20/2020,421.94,431.75,431.75,419.05,31656288
113,10/21/2020,422.64,422.7,432.95,421.25,32370460
114,10/22/2020,425.79,441.92,445.23,424.51,39993192
115,10/23/2020,420.63,421.84,422.88599999999997,407.38,33716980
116,10/26/2020,420.28,411.63,425.76,410.0,28239160
